Département,Slug,Nom_reel,Code_postal,INSEE
1,priay,Priay,1160,1314
1,peyrieu,Peyrieu,1300,1294
1,lalleyriat,Lalleyriat,1130,1204
1,sergy-01,Sergy,1630,1401
1,saint-martin-du-frene,Saint-Martin-du-Frêne,1430,1373
1,saint-maurice-de-beynost,Saint-Maurice-de-Beynost,1700,1376
1,servas-01,Servas,1240,1405
1,cuzieu-01,Cuzieu,1300,1141
1,jayat,Jayat,1340,1196
1,lavours,Lavours,1350,1208
1,chevroux,Chevroux,1190,1102
1,pollieu,Pollieu,1350,1302
1,beligneux,Béligneux,1360,1032
1,brenaz,Brénaz,1260,1059
1,benonces,Bénonces,1470,1037
1,saint-jean-le-vieux-01,Saint-Jean-le-Vieux,1640,1363
1,beauregard-01,Beauregard,1480,1030
1,oyonnax,Oyonnax,1100,1283
1,mionnay,Mionnay,1390,1248
1,germagnat,Germagnat,1250,1172
1,coligny,Coligny,1270,1108
1,simandre-sur-suran,Simandre-sur-Suran,1250,1408
1,abergement-clemenciat,L'Abergement-Clémenciat,1400,1001
1,lescheroux,Lescheroux,1560,1212
1,ornex,Ornex,1210,1281
1,dommartin-01,Dommartin,1380,1144
1,lompnas,Lompnas,1680,1219
1,bettant,Bettant,1500,1041
1,armix,Armix,1510,1019
1,feillens,Feillens,1570,1159
1,chavornay,Chavornay,1510,1097
1,challex,Challex,1630,1078
1,vongnes,Vongnes,1350,1456
1,magnieu,Magnieu,1300,1227
1,groissiat,Groissiat,1810,1181
1,dompierre-sur-chalaronne,Dompierre-sur-Chalaronne,1400,1146
1,montluel,Montluel,1120,1262
1,poizat,Le Poizat,1130,1300
1,hostiaz,Hostiaz,1110,1186
1,montanges,Montanges,1200,1257
1,sainte-julie,Sainte-Julie,1150,1366
1,bey-01,Bey,1290,1042
1,sonthonnax-la-montagne,Sonthonnax-la-Montagne,1580,1410
1,mezeriat,Mézériat,1660,1246
1,bellignat,Bellignat,1810,1031
1,saint-marcel-01,Saint-Marcel,1390,1371
1,belley,Belley,1300,1034
1,corbonod,Corbonod,1420,1118
1,neyron,Neyron,1700,1275
1,saint-paul-de-varax,Saint-Paul-de-Varax,1240,1383
1,pressiat,Pressiat,1370,1312
1,chazey-bons,Chazey-Bons,1300,1098
1,servignat,Servignat,1560,1406
1,marlieux,Marlieux,1240,1235
1,andert-et-condon,Andert-et-Condon,1300,1009
1,hautecourt-romaneche,Hautecourt-Romanèche,1250,1184
1,crottet,Crottet,1620,1134
1,druillat,Druillat,1160,1151
1,dompierre-sur-veyle,Dompierre-sur-Veyle,1240,1145
1,perouges,Pérouges,1800,1290
1,rignieux-le-franc,Rignieux-le-Franc,1800,1325
1,giron,Giron,1130,1174
1,cerdon-01,Cerdon,1450,1068
1,cruzilles-les-mepillat,Cruzilles-lès-Mépillat,1290,1136
1,lelex,Lélex,1410,1210
1,lhopital,Lhôpital,1420,1215
1,segny,Ségny,1170,1399
1,cheignieu-la-balme,Cheignieu-la-Balme,1510,1100
1,saint-vulbas,Saint-Vulbas,1150,1390
1,echallon,Échallon,1130,1152
1,montellier,Le Montellier,1800,1260
1,martignat,Martignat,1810,1237
1,ceyzeriat,Ceyzériat,1250,1072
1,montcet,Montcet,1310,1259
1,vonnas,Vonnas,1540,1457
1,buellas,Buellas,1310,1065
1,saint-benigne,Saint-Bénigne,1190,1337
1,chevillard,Chevillard,1430,1101
1,bouligneux,Bouligneux,1330,1052
1,contrevoz,Contrevoz,1300,1116
1,champdor,Champdor,1110,1080
1,port-01,Port,1460,1307
1,surjoux,Surjoux,1420,1413
1,champfromier,Champfromier,1410,1081
1,vesines,Vésines,1570,1439
1,seillonnaz,Seillonnaz,1470,1400
1,varambon,Varambon,1160,1430
1,grand-abergement,Le Grand-Abergement,1260,1176
1,jassans-riottier,Jassans-Riottier,1480,1194
1,asnieres-sur-saone,Asnières-sur-Saône,1570,1023
1,condamine-01,Condamine,1430,1112
1,lhuis,Lhuis,1680,1216
1,romans-01,Romans,1400,1328
1,pizay,Pizay,1120,1297
1,certines,Certines,1240,1069
